codigoDane_municipio,tipo_division_geografica,codigo,grupo_edad,total_2019,hombres_2019,mujeres_2019
5001,Comuna,Popular,Total,132482,62629,69853
5001,Comuna,Popular,0-4,11684,5964,5720
5001,Comuna,Popular,5-9,11664,5909,5755
5001,Comuna,Popular,10-14,11275,5683,5592
5001,Comuna,Popular,15-19,10972,5607,5365
5001,Comuna,Popular,20-24,10555,5114,5441
5001,Comuna,Popular,25-29,10630,5132,5498
5001,Comuna,Popular,30-34,10648,4953,5695
5001,Comuna,Popular,35-39,9140,4051,5089
5001,Comuna,Popular,40-44,8137,3586,4551
5001,Comuna,Popular,45-49,7610,3382,4228
5001,Comuna,Popular,50-54,8317,3769,4548
5001,Comuna,Popular,55-59,7231,3253,3978
5001,Comuna,Popular,60-64,5300,2342,2958
5001,Comuna,Popular,65-69,3646,1595,2051
5001,Comuna,Popular,70-74,2462,1046,1416
5001,Comuna,Popular,75-79,1510,613,897
5001,Comuna,Popular,80 Y MÁS,1701,630,1071
5001,Comuna,Santa Cruz,Total,113520,53463,60057
5001,Comuna,Santa Cruz,0-4,8635,4416,4219
5001,Comuna,Santa Cruz,5-9,8735,4445,4290
5001,Comuna,Santa Cruz,10-14,8625,4402,4223
5001,Comuna,Santa Cruz,15-19,8901,4640,4261
5001,Comuna,Santa Cruz,20-24,8850,4422,4428
5001,Comuna,Santa Cruz,25-29,9503,4746,4757
5001,Comuna,Santa Cruz,30-34,9509,4598,4911
5001,Comuna,Santa Cruz,35-39,8165,3687,4478
5001,Comuna,Santa Cruz,40-44,6939,3091,3848
5001,Comuna,Santa Cruz,45-49,6395,2813,3582
5001,Comuna,Santa Cruz,50-54,7627,3370,4257
5001,Comuna,Santa Cruz,55-59,7233,3115,4118
5001,Comuna,Santa Cruz,60-64,5022,2085,2937
5001,Comuna,Santa Cruz,65-69,3589,1484,2105
5001,Comuna,Santa Cruz,70-74,2541,1004,1537
5001,Comuna,Santa Cruz,75-79,1465,548,917
5001,Comuna,Santa Cruz,80 Y MÁS,1786,597,1189
5001,Comuna,Manrique,Total,162374,77927,84447
5001,Comuna,Manrique,0-4,11340,5800,5540
5001,Comuna,Manrique,5-9,11380,5798,5582
5001,Comuna,Manrique,10-14,11418,5847,5571
5001,Comuna,Manrique,15-19,11857,6228,5629
5001,Comuna,Manrique,20-24,11821,5977,5844
5001,Comuna,Manrique,25-29,13036,6627,6409
